# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1774282198792000000,1774282258877000000,297
FilePageCacheLockFree.totalBytesRead,1774282198792000000,1774282258877000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1774282198792000000,1774282258877000000,0
DirectByteBufferAllocator.misses,1774282198792000000,1774282258877000000,294
FilePageCacheLockFree.totalClosedStoragesReclaimed,1774282198792000000,1774282258877000000,0
StreamlinedBlobStorage.recordsDeleted,1774282198792000000,1774282258877000000,27
StorageLockContext.competingThreads.90P,1774282198792000000,1774282258877000000,0
FilePageCache.pageHits,1774282198792000000,1774282258877000000,21659
FilePageCache.pageFastCacheHits,1774282198792000000,1774282258877000000,57727
compiler.ArtifactManagerBridge.initBridges.ms,1774282198792000000,1774282258877000000,1
compiler.ArtifactManagerBridge.commit.ms,1774282198792000000,1774282258877000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1774282198792000000,1774282258877000000,1
compiler.ArtifactManagerBridge.getArtifacts.ms,1774282198792000000,1774282258877000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1774282198792000000,1774282258877000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1774282198792000000,1774282258877000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1774282198792000000,1774282258877000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1774282198792000000,1774282258877000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1774282198792000000,1774282258877000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1774282198792000000,1774282258877000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1774282198792000000,1774282258877000000,0
workspaceModel.update.unloaded.entities.ms,1774282198792000000,1774282258877000000,0
workspaceModel.workspaceFileIndexData.instances.count,1774282198792000000,1774282258877000000,2
workspaceModel.cachedValueWithParameters.from.cache.count,1774282198792000000,1774282258877000000,0
workspaceModel.to.snapshot.ms,1774282198792000000,1774282258877000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1774282198792000000,1774282258877000000,0
workspaceModel.cachedValue.total.get.count,1774282198792000000,1774282258877000000,5863
workspaceModel.on.changed.ms,1774282198792000000,1774282258877000000,16
workspaceModel.check.recursive.update.ms,1774282198792000000,1774282258877000000,3
workspaceModel.workspaceFileIndexData.markDirty.ms,1774282198792000000,1774282258877000000,0
workspaceModel.updates.ms,1774282198792000000,1774282258877000000,44
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1774282198792000000,1774282258877000000,0
workspaceModel.initializing.ms,1774282198792000000,1774282258877000000,1
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1774282198792000000,1774282258877000000,2
workspaceModel.replace.project.model.ms,1774282198792000000,1774282258877000000,3
workspaceModel.cachedValueWithParameters.clear.count,1774282198792000000,1774282258877000000,0
workspaceModel.on.before.changed.ms,1774282198792000000,1774282258877000000,13
workspaceModel.init.bridges.ms,1774282198792000000,1774282258877000000,2
workspaceModel.collect.changes.ms,1774282198792000000,1774282258877000000,0
workspaceModel.updates.precise.ms,1774282198792000000,1774282258877000000,15
workspaceModel.cachedValue.clear.count,1774282198792000000,1774282258877000000,3
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1774282198792000000,1774282258877000000,1866
workspaceModel.workspaceFileIndexData.init.ms,1774282198792000000,1774282258877000000,201
workspaceModel.cachedValueWithParameters.total.get.count,1774282198792000000,1774282258877000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1774282198792000000,1774282258877000000,385
workspaceModel.loading.from.cache.ms,1774282198792000000,1774282258877000000,242
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1774282198792000000,1774282258877000000,170
workspaceModel.workspaceFileIndexData.getPackageName.ms,1774282198792000000,1774282258877000000,29
workspaceModel.loading.total.ms,1774282198792000000,1774282258877000000,248
workspaceModel.cachedValue.from.cache.count,1774282198792000000,1774282258877000000,5364
workspaceModel.updates.count,1774282198792000000,1774282258877000000,13
workspaceModel.cachedValue.calculated.count,1774282198792000000,1774282258877000000,499
workspaceModel.entityStorageSnapshotImpl.instances.count,1774282198792000000,1774282258877000000,48
workspaceModel.full.replace.project.model.ms,1774282198792000000,1774282258877000000,4
workspaceModel.pre.handlers.ms,1774282198792000000,1774282258877000000,0
VFS.contentStorage.recordsStoredSize,1774282198792000000,1774282258877000000,0
VFS.contentStorage.recordsDeduplicated,1774282198792000000,1774282258877000000,0
VFS.fileByIdCache.hits,1774282198792000000,1774282258877000000,5
FileNameCache.queries,1774282198792000000,1774282258877000000,8205376
VFS.contentStorage.recordsReadSize,1774282198792000000,1774282258877000000,58949
FileNameCache.totalMisses,1774282198792000000,1774282258877000000,732608
VFS.invertedFileNameIndex.requests,1774282198792000000,1774282258877000000,2
VFS.contentStorage.recordsDecompressionTimeUs,1774282198792000000,1774282258877000000,0
VFS.contentStorage.recordsReadDecompressed,1774282198792000000,1774282258877000000,0
VFS.contentStorage.recordsStoredCompressed,1774282198792000000,1774282258877000000,0
VFS.fileByIdCache.misses,1774282198792000000,1774282258877000000,563216
VFS.contentStorage.recordsUncompressedSize,1774282198792000000,1774282258877000000,0
VFS.fileChildByName,1774282198792000000,1774282258877000000,193257
VFS.contentStorage.recordsStored,1774282198792000000,1774282258877000000,0
VFS.contentStorage.recordsRead,1774282198792000000,1774282258877000000,32
workspaceModel.moduleBridge.before.changed.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1774282258877000000,1774290441461000000,0
jps.app.storage.content.writer.save.component.ms,1774282258877000000,1774290441461000000,0
jps.global.handle.before.change.events.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774282258877000000,1774290441461000000,0
jps.module.iml.entities.serializer.save.entities.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1774282258877000000,1774290441461000000,0
jps.library.entities.serializer.load.entities.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.entities.ms,1774282258877000000,1774290441461000000,0
workspaceModel.save.cache.to.file.ms,1774282258877000000,1774290441461000000,0
jps.global.handle.changed.events.ms,1774282258877000000,1774290441461000000,0
jps.facet.change.listener.process.change.events.ms,1774282258877000000,1774290441461000000,0
jps.global.get.library.by.name.ms,1774282258877000000,1774290441461000000,0
